,From,To
220,CAC1C_HUMAN,CACNA1C
221,CAC1G_HUMAN,CACNA1G
222,CAC1I_HUMAN,CACNA1I
223,CAD10_HUMAN,CDH10
224,CAD11_HUMAN,CDH11
225,CAD12_HUMAN,CDH12
226,CAD13_HUMAN,CDH13
227,CAD15_HUMAN,CDH15
228,CAD16_HUMAN,CDH16
229,CAD17_HUMAN,CDH17
230,CAD18_HUMAN,CDH18
231,CAD19_HUMAN,CDH19
232,CAD20_HUMAN,CDH20
233,CAD22_HUMAN,CDH22
234,CAD23_HUMAN,CDH23
235,CAD24_HUMAN,CDH24
236,CAD26_HUMAN,CDH26
237,CADH1_HUMAN,CDH1
238,CADH2_HUMAN,CDH2
239,CADH3_HUMAN,CDH3
240,CADH4_HUMAN,CDH4
241,CADH5_HUMAN,CDH5
242,CADH6_HUMAN,CDH6
243,CADH7_HUMAN,CDH7
244,CADH8_HUMAN,CDH8
245,CADH9_HUMAN,CDH9
246,CADM1_HUMAN,CADM1
247,CADM2_HUMAN,CADM2
248,CADM3_HUMAN,CADM3
249,CADM4_HUMAN,CADM4
250,CAH12_HUMAN,CA12
251,CAH14_HUMAN,CA14
252,CAH4_HUMAN,CA4
253,CAHD1_HUMAN,CACHD1
254,CAHM2_HUMAN,CALHM2
255,CALCR_HUMAN,CALCR
256,CALRL_HUMAN,CALCRL
257,CALY_HUMAN,CALY
258,CASD1_HUMAN,CASD1
259,CASR_HUMAN,CASR
260,CBPD_HUMAN,CPD
261,CBPM_HUMAN,CPM
262,CC080_HUMAN,C3orf80
263,CC50A_HUMAN,TMEM30A
264,CC50C_HUMAN,TMEM30CP
265,CCG1_HUMAN,CACNG1
266,CCG2_HUMAN,CACNG2
267,CCG3_HUMAN,CACNG3
268,CCG4_HUMAN,CACNG4
269,CCG5_HUMAN,CACNG5
270,CCG6_HUMAN,CACNG6
271,CCG7_HUMAN,CACNG7
272,CCG8_HUMAN,CACNG8
273,CCGL_HUMAN,TMEM37
274,CCKAR_HUMAN,CCKAR
275,CCR10_HUMAN,CCR10
276,CCR1_HUMAN,CCR1
277,CCR2_HUMAN,CCR2
278,CCR3_HUMAN,CCR3
279,CCR4_HUMAN,CCR4
280,CCR5_HUMAN,CCR5
281,CCR6_HUMAN,CCR6
282,CCR7_HUMAN,CCR7
283,CCR8_HUMAN,CCR8
284,CCR9_HUMAN,CCR9
285,CCRL2_HUMAN,CCRL2
286,CD109_HUMAN,CD109
287,CD14_HUMAN,CD14
288,CD151_HUMAN,CD151
289,CD166_HUMAN,ALCAM
290,CD177_HUMAN,CD177
291,CD180_HUMAN,CD180
292,CD19_HUMAN,CD19
293,CD1A_HUMAN,CD1A
294,CD1B_HUMAN,CD1B
295,CD1C_HUMAN,CD1C
296,CD1D_HUMAN,CD1D
297,CD1E_HUMAN,CD1E
298,CD20_HUMAN,MS4A1
299,CD226_HUMAN,CD226
300,CD22_HUMAN,CD22
301,CD244_HUMAN,CD244
302,CD248_HUMAN,CD248
303,CD24_HUMAN,CD24
304,CD276_HUMAN,CD276
305,CD27_HUMAN,CD27
306,CD28_HUMAN,CD28
307,CD2_HUMAN,CD2
308,CD302_HUMAN,CD302
309,CD320_HUMAN,CD320
310,CD33_HUMAN,CD33
311,CD34_HUMAN,CD34
312,CD36_HUMAN,CD36
313,CD37_HUMAN,CD37
314,CD38_HUMAN,CD38
315,CD3D_HUMAN,CD3D
316,CD3G_HUMAN,CD3G
317,CD40L_HUMAN,CD40LG
318,CD44_HUMAN,CD44
319,CD47_HUMAN,CD47
320,CD48_HUMAN,CD48
321,CD4_HUMAN,CD4
322,CD52_HUMAN,CD52
323,CD53_HUMAN,CD53
324,CD59_HUMAN,CD59
325,CD5_HUMAN,CD5
326,CD63_HUMAN,CD63
327,CD68_HUMAN,CD68
328,CD69_HUMAN,CD69
329,CD6_HUMAN,CD6
330,CD70_HUMAN,CD70
331,CD79A_HUMAN,CD79A
332,CD79B_HUMAN,CD79B
333,CD7_HUMAN,CD7
334,CD80_HUMAN,CD80
335,CD82_HUMAN,CD82
336,CD83_HUMAN,CD83
337,CD86_HUMAN,CD86
338,CD8A_HUMAN,CD8A
339,CD8B_HUMAN,CD8B
340,CD9_HUMAN,CD9
341,CDCP1_HUMAN,CDCP1
342,CDHR1_HUMAN,CDHR1
343,CDHR2_HUMAN,CDHR2
344,CDHR3_HUMAN,CDHR3
345,CDHR4_HUMAN,CDHR4
346,CDHR5_HUMAN,CDHR5
347,CDON_HUMAN,CDON
348,CEA19_HUMAN,CEACAM19
349,CEA20_HUMAN,CEACAM20
350,CEA21_HUMAN,CEACAM21
351,CEAM1_HUMAN,CEACAM1
352,CEAM3_HUMAN,CEACAM3
353,CEAM4_HUMAN,CEACAM4
354,CEAM5_HUMAN,CEACAM5
355,CEAM6_HUMAN,CEACAM6
356,CEAM7_HUMAN,CEACAM7
357,CEAM8_HUMAN,CEACAM8
358,CELR1_HUMAN,CELSR1
359,CELR2_HUMAN,CELSR2
360,CELR3_HUMAN,CELSR3
361,CFC1_HUMAN,CFC1
362,CGT_HUMAN,UGT8
363,CHODL_HUMAN,CHODL
364,CHPT1_HUMAN,CHPT1
365,CK024_HUMAN,C11orf24
366,CK087_HUMAN,C11orf87
367,CL12A_HUMAN,CLEC12A
368,CL12B_HUMAN,CLEC12B
369,CL17A_HUMAN,CLEC17A
370,CLC14_HUMAN,CLEC14A
371,CLC1A_HUMAN,CLEC1A
372,CLC1B_HUMAN,CLEC1B
373,CLC2D_HUMAN,CLEC2D
374,CLC4G_HUMAN,CLEC4G
375,CLC4M_HUMAN,CLEC4M
376,CLC5A_HUMAN,CLEC5A
377,CLC7A_HUMAN,CLEC7A
378,CLC9A_HUMAN,CLEC9A
379,CLCA2_HUMAN,CLCA2
380,CLCA4_HUMAN,CLCA4
381,CLCKB_HUMAN,CLCNKB
382,CLD10_HUMAN,CLDN10
383,CLD11_HUMAN,CLDN11
384,CLD12_HUMAN,CLDN12
385,CLD15_HUMAN,CLDN15
386,CLD16_HUMAN,CLDN16
387,CLD18_HUMAN,CLDN18
388,CLD19_HUMAN,CLDN19
389,CLD1_HUMAN,CLDN1
390,CLD20_HUMAN,CLDN20
391,CLD22_HUMAN,CLDN22
392,CLD24_HUMAN,CLDN24
393,CLD2_HUMAN,CLDN2
394,CLD3_HUMAN,CLDN3
395,CLD4_HUMAN,CLDN4
396,CLD6_HUMAN,CLDN6
397,CLD7_HUMAN,CLDN7
398,CLD8_HUMAN,CLDN8
399,CLD9_HUMAN,CLDN9
400,CLDN1_HUMAN,CLDND1
401,CLM1_HUMAN,CD300LF
402,CLM2_HUMAN,CD300E
403,CLM6_HUMAN,CD300C
404,CLM8_HUMAN,CD300A
405,CLM9_HUMAN,CD300LG
406,CLMP_HUMAN,CLMP
407,CLN3_HUMAN,CLN3
408,CLRN1_HUMAN,CLRN1
409,CLRN2_HUMAN,CLRN2
410,CLTR1_HUMAN,CYSLTR1
411,CLTR2_HUMAN,CYSLTR2
412,CML1_HUMAN,CMKLR1
413,CN132_HUMAN,C14orf132
414,CNNM2_HUMAN,CNNM2
415,CNNM3_HUMAN,CNNM3
416,CNNM4_HUMAN,CNNM4
417,CNR1_HUMAN,CNR1
418,CNR2_HUMAN,CNR2
419,CNT3B_HUMAN,CNTNAP3B
420,CNTFR_HUMAN,CNTFR
421,CNTN1_HUMAN,CNTN1
422,CNTN2_HUMAN,CNTN2
423,CNTN3_HUMAN,CNTN3
424,CNTN4_HUMAN,CNTN4
425,CNTN5_HUMAN,CNTN5
426,CNTN6_HUMAN,CNTN6
427,CNTP1_HUMAN,CNTNAP1
428,CNTP2_HUMAN,CNTNAP2
429,CNTP3_HUMAN,CNTNAP3
430,CNTP4_HUMAN,CNTNAP4
431,CNTP5_HUMAN,CNTNAP5
432,COPT1_HUMAN,SLC31A1
433,CORIN_HUMAN,CORIN
434,CR1_HUMAN,CR1
435,CR2_HUMAN,CR2
436,CRFR1_HUMAN,CRHR1
437,CRFR2_HUMAN,CRHR2
438,CRIM1_HUMAN,CRIM1
439,CRLF2_HUMAN,CRLF2
440,CRTAM_HUMAN,CRTAM
441,CRUM1_HUMAN,CRB1
442,CRUM2_HUMAN,CRB2
443,CRUM3_HUMAN,CRB3
444,CS018_HUMAN,C19orf18
445,CSC1_HUMAN,TMEM63C
446,CSCL1_HUMAN,TMEM63A
447,CSCL2_HUMAN,TMEM63B
