,From,To
1432,O10G4_HUMAN,OR10G4
1433,O10G6_HUMAN,OR10G6
1434,O10G7_HUMAN,OR10G7
1435,O10G8_HUMAN,OR10G8
1436,O10G9_HUMAN,OR10G9
1437,O10H1_HUMAN,OR10H1
1438,O10H2_HUMAN,OR10H2
1439,O10H3_HUMAN,OR10H3
1440,O10H4_HUMAN,OR10H4
1441,O10H5_HUMAN,OR10H5
1442,O10J1_HUMAN,OR10J1
1443,O10J3_HUMAN,OR10J3
1444,O10J4_HUMAN,OR10J4
1445,O10J5_HUMAN,OR10J5
1446,O10J6_HUMAN,OR10J6P
1447,O10K1_HUMAN,OR10K1
1448,O10K2_HUMAN,OR10K2
1449,O10P1_HUMAN,OR10P1
1450,O10Q1_HUMAN,OR10Q1
1451,O10R2_HUMAN,OR10R2
1452,O10S1_HUMAN,OR10S1
1453,O10T2_HUMAN,OR10T2
1454,O10V1_HUMAN,OR10V1
1455,O10W1_HUMAN,OR10W1
1456,O10X1_HUMAN,OR10X1
1457,O10Z1_HUMAN,OR10Z1
1458,O11A1_HUMAN,OR11A1
1459,O11G2_HUMAN,OR11G2
1460,O11H1_HUMAN,OR11H1
1461,O11H2_HUMAN,OR11H2
1462,O11H4_HUMAN,OR11H4
1463,O11H6_HUMAN,OR11H6
1464,O11H7_HUMAN,OR11H7
1465,O11HC_HUMAN,OR11H12
1466,O11L1_HUMAN,OR11L1
1467,O12D2_HUMAN,OR12D2
1468,O12D3_HUMAN,OR12D3
1469,O13A1_HUMAN,OR13A1
1470,O13C2_HUMAN,OR13C2
1471,O13C3_HUMAN,OR13C3
1472,O13C4_HUMAN,OR13C4
1473,O13C5_HUMAN,OR13C5
1474,O13C6_HUMAN,OR13C6P
1475,O13C8_HUMAN,OR13C8
1476,O13C9_HUMAN,OR13C9
1477,O13D1_HUMAN,OR13D1
1478,O13F1_HUMAN,OR13F1
1479,O13G1_HUMAN,OR13G1
1480,O13H1_HUMAN,OR13H1
1481,O13J1_HUMAN,OR13J1
1482,O14A2_HUMAN,OR14A2
1483,O14AG_HUMAN,OR14A16
1484,O14CZ_HUMAN,OR14C36
1485,O14I1_HUMAN,OR14I1
1486,O14J1_HUMAN,OR14J1
1487,O14K1_HUMAN,OR14K1
1488,O14L1_HUMAN,OR14L1P
1489,O2A12_HUMAN,OR2A12
1490,O2A14_HUMAN,OR2A14
1491,O2A25_HUMAN,OR2A25
1492,O2AE1_HUMAN,OR2AE1
1493,O2AG1_HUMAN,OR2AG1
1494,O2AG2_HUMAN,OR2AG2
1495,O2AJ1_HUMAN,OR2AJ1
1496,O2AK2_HUMAN,OR2AK2
1497,O2AP1_HUMAN,OR2AP1
1498,O2AT4_HUMAN,OR2AT4
1499,O2T10_HUMAN,OR2T10
1500,O2T11_HUMAN,OR2T11
1501,O2T12_HUMAN,OR2T12
1502,O2T27_HUMAN,OR2T27
1503,O2T29_HUMAN,OR2T29
1504,O2T33_HUMAN,OR2T33
1505,O2T34_HUMAN,OR2T34
1506,O2T35_HUMAN,OR2T35
1507,O4A15_HUMAN,OR4A15
1508,O4A16_HUMAN,OR4A16
1509,O4A47_HUMAN,OR4A47
1510,O4C45_HUMAN,OR4C45
1511,O4C46_HUMAN,OR4C46
1512,O4F15_HUMAN,OR4F15
1513,O4F17_HUMAN,OR4F17
1514,O4F21_HUMAN,OR4F21
1515,O51A2_HUMAN,OR51A2
1516,O51A4_HUMAN,OR51A4
1517,O51A7_HUMAN,OR51A7
1518,O51B2_HUMAN,OR51B2
1519,O51B4_HUMAN,OR51B4
1520,O51B5_HUMAN,OR51B5
1521,O51B6_HUMAN,OR51B6
1522,O51D1_HUMAN,OR51D1
1523,O51E1_HUMAN,OR51E1
1524,O51E2_HUMAN,OR51E2
1525,O51F1_HUMAN,OR51F1
1526,O51F2_HUMAN,OR51F2
1527,O51G1_HUMAN,OR51G1
1528,O51G2_HUMAN,OR51G2
1529,O51H1_HUMAN,OR51H1
1530,O51I1_HUMAN,OR51I1
1531,O51I2_HUMAN,OR51I2
1532,O51J1_HUMAN,OR51J1
1533,O51L1_HUMAN,OR51L1
1534,O51M1_HUMAN,OR51M1
1535,O51Q1_HUMAN,OR51Q1
1536,O51S1_HUMAN,OR51S1
1537,O51T1_HUMAN,OR51T1
1538,O51V1_HUMAN,OR51V1
1539,O52A1_HUMAN,OR52A1
1540,O52A4_HUMAN,OR52A4P
1541,O52A5_HUMAN,OR52A5
1542,O52B2_HUMAN,OR52B2
1543,O52B4_HUMAN,OR52B4
1544,O52B6_HUMAN,OR52B6
1545,O52D1_HUMAN,OR52D1
1546,O52E1_HUMAN,OR52E1
1547,O52E2_HUMAN,OR52E2
1548,O52E4_HUMAN,OR52E4
1549,O52E5_HUMAN,OR52E5
1550,O52E6_HUMAN,OR52E6
1551,O52E8_HUMAN,OR52E8
1552,O52H1_HUMAN,OR52H1
1553,O52I1_HUMAN,OR52I1
1554,O52I2_HUMAN,OR52I2
1555,O52J3_HUMAN,OR52J3
1556,O52K1_HUMAN,OR52K1
1557,O52K2_HUMAN,OR52K2
1558,O52L1_HUMAN,OR52L1
1559,O52L2_HUMAN,OR52L2P
1560,O52M1_HUMAN,OR52M1
1561,O52N1_HUMAN,OR52N1
1562,O52N2_HUMAN,OR52N2
1563,O52N4_HUMAN,OR52N4
1564,O52N5_HUMAN,OR52N5
1565,O52P1_HUMAN,OR52P1
1566,O52R1_HUMAN,OR52R1
1567,O52W1_HUMAN,OR52W1
1568,O52Z1_HUMAN,OR52Z1P
1569,O56A1_HUMAN,OR56A1
1570,O56A3_HUMAN,OR56A3
1571,O56A4_HUMAN,OR56A4
1572,O56A5_HUMAN,OR56A5
1573,O56B1_HUMAN,OR56B1
1574,O56B2_HUMAN,OR56B2P
1575,O56B4_HUMAN,OR56B4
1576,O5AC1_HUMAN,OR5AC1
1577,O5AC2_HUMAN,OR5AC2
1578,O5AK2_HUMAN,OR5AK2
1579,O5AK3_HUMAN,OR5AK3P
1580,O5AL1_HUMAN,OR5AL1
1581,O5AN1_HUMAN,OR5AN1
1582,O5AP2_HUMAN,OR5AP2
1583,O5AR1_HUMAN,OR5AR1
1584,O5AS1_HUMAN,OR5AS1
1585,O5AU1_HUMAN,OR5AU1
1586,O5H14_HUMAN,OR5H14
1587,O5H15_HUMAN,OR5H15
1588,O6C65_HUMAN,OR6C65
1589,O6C68_HUMAN,OR6C68
1590,O6C70_HUMAN,OR6C70
1591,O6C74_HUMAN,OR6C74
1592,O6C75_HUMAN,OR6C75
1593,O6C76_HUMAN,OR6C76
1594,O7E24_HUMAN,OR7E24
1595,OGR1_HUMAN,GPR68
1596,OLR1_HUMAN,OLR1
1597,OMGP_HUMAN,OMG
1598,OPALI_HUMAN,OPALIN
1599,OPCM_HUMAN,OPCML
1600,OPN3_HUMAN,OPN3
1601,OPN4_HUMAN,OPN4
1602,OPN5_HUMAN,OPN5
1603,OPRD_HUMAN,OPRD1
1604,OPRK_HUMAN,OPRK1
1605,OPRM_HUMAN,OPRM1
1606,OPRX_HUMAN,OPRL1
1607,OPSB_HUMAN,OPN1SW
1608,OPSD_HUMAN,RHO
1609,OPSG_HUMAN,OPN1MW
1610,OPSR_HUMAN,OPN1LW
1611,OPSX_HUMAN,RRH
1612,OR1A1_HUMAN,OR1A1
1613,OR1A2_HUMAN,OR1A2
1614,OR1B1_HUMAN,OR1B1
1615,OR1C1_HUMAN,OR1C1
1616,OR1D2_HUMAN,OR1D2
1617,OR1D4_HUMAN,OR1D4
1618,OR1D5_HUMAN,OR1D5
1619,OR1E1_HUMAN,OR1E1
1620,OR1E2_HUMAN,OR1E2
1621,OR1E3_HUMAN,OR1E3
1622,OR1F1_HUMAN,OR1F1
1623,OR1F2_HUMAN,OR1F2P
1624,OR1FC_HUMAN,OR1F12P
1625,OR1G1_HUMAN,OR1G1
1626,OR1I1_HUMAN,OR1I1
1627,OR1J1_HUMAN,OR1J1
1628,OR1J2_HUMAN,OR1J2
1629,OR1J4_HUMAN,OR1J4
1630,OR1K1_HUMAN,OR1K1
1631,OR1L1_HUMAN,OR1L1
1632,OR1L3_HUMAN,OR1L3
1633,OR1L4_HUMAN,OR1L4
1634,OR1L6_HUMAN,OR1L6
1635,OR1L8_HUMAN,OR1L8
1636,OR1M1_HUMAN,OR1M1
1637,OR1N1_HUMAN,OR1N1
1638,OR1N2_HUMAN,OR1N2
1639,OR1P1_HUMAN,OR1P1
1640,OR1Q1_HUMAN,OR1Q1
1641,OR1S1_HUMAN,OR1S1
1642,OR1S2_HUMAN,OR1S2
1643,OR2A1_HUMAN,OR2A1
1644,OR2A1_HUMAN,OR2A42
1645,OR2A2_HUMAN,OR2A2
1646,OR2A4_HUMAN,OR2A4
1647,OR2A5_HUMAN,OR2A5
1648,OR2A7_HUMAN,OR2A7
1649,OR2B2_HUMAN,OR2B2
1650,OR2B3_HUMAN,OR2B3
1651,OR2B6_HUMAN,OR2B6
1652,OR2B8_HUMAN,OR2B8P
1653,OR2BB_HUMAN,OR2B11
1654,OR2C1_HUMAN,OR2C1
1655,OR2C3_HUMAN,OR2C3
1656,OR2D2_HUMAN,OR2D2
1657,OR2D3_HUMAN,OR2D3
1658,OR2F1_HUMAN,OR2F1
1659,OR2F2_HUMAN,OR2F2
1660,OR2G2_HUMAN,OR2G2
1661,OR2G3_HUMAN,OR2G3
1662,OR2G6_HUMAN,OR2G6
1663,OR2H1_HUMAN,OR2H1
1664,OR2H2_HUMAN,OR2H2
1665,OR2I1_HUMAN,OR2I1P
1666,OR2J1_HUMAN,OR2J1
1667,OR2J2_HUMAN,OR2J2
1668,OR2J3_HUMAN,OR2J3
1669,OR2K2_HUMAN,OR2K2
1670,OR2L2_HUMAN,OR2L2
1671,OR2L3_HUMAN,OR2L3
1672,OR2L5_HUMAN,OR2L5
1673,OR2L8_HUMAN,OR2L8
1674,OR2LD_HUMAN,OR2L13
1675,OR2M2_HUMAN,OR2M2
1676,OR2M3_HUMAN,OR2M3
1677,OR2M4_HUMAN,OR2M4
1678,OR2M5_HUMAN,OR2M5
1679,OR2M7_HUMAN,OR2M7
1680,OR2S1_HUMAN,OR2S2
1681,OR2T1_HUMAN,OR2T1
1682,OR2T2_HUMAN,OR2T2
1683,OR2T3_HUMAN,OR2T3
1684,OR2T4_HUMAN,OR2T4
1685,OR2T5_HUMAN,OR2T5
1686,OR2T6_HUMAN,OR2T6
1687,OR2T7_HUMAN,OR2T7
1688,OR2T8_HUMAN,OR2T8
1689,OR2V1_HUMAN,OR2V1
1690,OR2V2_HUMAN,OR2V2
1691,OR2W1_HUMAN,OR2W1
1692,OR2W3_HUMAN,OR2W3
1693,OR2W6_HUMAN,OR2W6P
1694,OR2Y1_HUMAN,OR2Y1
1695,OR2Z1_HUMAN,OR2Z1
1696,OR3A1_HUMAN,OR3A1
1697,OR3A2_HUMAN,OR3A2
1698,OR3A3_HUMAN,OR3A3
1699,OR3A4_HUMAN,OR3A4P
1700,OR4A4_HUMAN,OR4A4P
1701,OR4A5_HUMAN,OR4A5
1702,OR4A8_HUMAN,OR4A8
1703,OR4B1_HUMAN,OR4B1
1704,OR4C3_HUMAN,OR4C3
1705,OR4C5_HUMAN,OR4C5
1706,OR4C6_HUMAN,OR4C6
1707,OR4CB_HUMAN,OR4C11
1708,OR4CC_HUMAN,OR4C12
1709,OR4CD_HUMAN,OR4C13
1710,OR4CF_HUMAN,OR4C15
1711,OR4CG_HUMAN,OR4C16
1712,OR4D1_HUMAN,OR4D1
1713,OR4D2_HUMAN,OR4D2
1714,OR4D5_HUMAN,OR4D5
1715,OR4D6_HUMAN,OR4D6
1716,OR4D9_HUMAN,OR4D9
1717,OR4DA_HUMAN,OR4D10
1718,OR4DB_HUMAN,OR4D11
1719,OR4E1_HUMAN,OR4E1
1720,OR4E2_HUMAN,OR4E2
1721,OR4F3_HUMAN,OR4F16
1722,OR4F3_HUMAN,OR4F29
1723,OR4F3_HUMAN,OR4F3
1724,OR4F4_HUMAN,OR4F4
1725,OR4F5_HUMAN,OR4F5
1726,OR4F6_HUMAN,OR4F6
1727,OR4K1_HUMAN,OR4K1
1728,OR4K2_HUMAN,OR4K2
1729,OR4K3_HUMAN,OR4K3
1730,OR4K5_HUMAN,OR4K5
1731,OR4KD_HUMAN,OR4K13
1732,OR4KE_HUMAN,OR4K14
1733,OR4KF_HUMAN,OR4K15
1734,OR4KH_HUMAN,OR4K17
1735,OR4L1_HUMAN,OR4L1
1736,OR4M1_HUMAN,OR4M1
1737,OR4M2_HUMAN,OR4M2
1738,OR4N2_HUMAN,OR4N2
1739,OR4N4_HUMAN,OR4N4
1740,OR4N5_HUMAN,OR4N5
1741,OR4P4_HUMAN,OR4P4
1742,OR4Q2_HUMAN,OR4Q2
1743,OR4Q3_HUMAN,OR4Q3
1744,OR4S1_HUMAN,OR4S1
1745,OR4S2_HUMAN,OR4S2
1746,OR4X1_HUMAN,OR4X1
1747,OR4X2_HUMAN,OR4X2
1748,OR5A1_HUMAN,OR5A1
1749,OR5A2_HUMAN,OR5A2
1750,OR5B2_HUMAN,OR5B2
1751,OR5B3_HUMAN,OR5B3
1752,OR5BC_HUMAN,OR5B12
1753,OR5BH_HUMAN,OR5B17
1754,OR5BL_HUMAN,OR5B21
1755,OR5C1_HUMAN,OR5C1
1756,OR5DD_HUMAN,OR5D13
1757,OR5DE_HUMAN,OR5D14
1758,OR5DG_HUMAN,OR5D16
1759,OR5DI_HUMAN,OR5D18
1760,OR5F1_HUMAN,OR5F1
1761,OR5G3_HUMAN,OR5G3
1762,OR5H1_HUMAN,OR5H1
1763,OR5H2_HUMAN,OR5H2
1764,OR5H6_HUMAN,OR5H6
1765,OR5I1_HUMAN,OR5I1
1766,OR5J2_HUMAN,OR5J2
1767,OR5K1_HUMAN,OR5K1
1768,OR5K2_HUMAN,OR5K2
1769,OR5K3_HUMAN,OR5K3
1770,OR5K4_HUMAN,OR5K4
1771,OR5L1_HUMAN,OR5L1
1772,OR5L2_HUMAN,OR5L2
1773,OR5M1_HUMAN,OR5M1
1774,OR5M3_HUMAN,OR5M3
1775,OR5M8_HUMAN,OR5M8
1776,OR5M9_HUMAN,OR5M9
1777,OR5MA_HUMAN,OR5M10
1778,OR5MB_HUMAN,OR5M11
1779,OR5P2_HUMAN,OR5P2
1780,OR5P3_HUMAN,OR5P3
1781,OR5R1_HUMAN,OR8U3
1782,OR5T1_HUMAN,OR5T1
1783,OR5T2_HUMAN,OR5T2
1784,OR5T3_HUMAN,OR5T3
1785,OR5V1_HUMAN,OR5V1
1786,OR5W2_HUMAN,OR5W2
1787,OR6A2_HUMAN,OR6A2
1788,OR6B1_HUMAN,OR6B1
1789,OR6B2_HUMAN,OR6B2
1790,OR6B3_HUMAN,OR6B3
1791,OR6C1_HUMAN,OR6C1
1792,OR6C2_HUMAN,OR6C2
1793,OR6C3_HUMAN,OR6C3
1794,OR6C4_HUMAN,OR6C4
1795,OR6C6_HUMAN,OR6C6
1796,OR6F1_HUMAN,OR6F1
1797,OR6J1_HUMAN,OR6J1
1798,OR6K2_HUMAN,OR6K2
1799,OR6K3_HUMAN,OR6K3
1800,OR6K6_HUMAN,OR6K6
1801,OR6M1_HUMAN,OR6M1
1802,OR6N1_HUMAN,OR6N1
1803,OR6N2_HUMAN,OR6N2
1804,OR6P1_HUMAN,OR6P1
1805,OR6Q1_HUMAN,OR6Q1
1806,OR6S1_HUMAN,OR6S1
1807,OR6T1_HUMAN,OR6T1
1808,OR6V1_HUMAN,OR6V1
1809,OR6X1_HUMAN,OR6X1
1810,OR6Y1_HUMAN,OR6Y1
1811,OR7A2_HUMAN,OR7A2P
1812,OR7A5_HUMAN,OR7A5
1813,OR7AA_HUMAN,OR7A10
1814,OR7AH_HUMAN,OR7A17
1815,OR7C1_HUMAN,OR7C1
1816,OR7C2_HUMAN,OR7C2
1817,OR7D2_HUMAN,OR7D2
1818,OR7D4_HUMAN,OR7D4
1819,OR7G1_HUMAN,OR7G1
1820,OR7G2_HUMAN,OR7G2
1821,OR7G3_HUMAN,OR7G3
1822,OR8A1_HUMAN,OR8A1
1823,OR8B2_HUMAN,OR8B2
1824,OR8B3_HUMAN,OR8B3
1825,OR8B4_HUMAN,OR8B4
1826,OR8B8_HUMAN,OR8B8
1827,OR8BC_HUMAN,OR8B12
1828,OR8D1_HUMAN,OR8D1
1829,OR8D2_HUMAN,OR8D2
1830,OR8D4_HUMAN,OR8D4
1831,OR8G1_HUMAN,OR8G1
1832,OR8G5_HUMAN,OR8G5
1833,OR8H1_HUMAN,OR8H1
1834,OR8H2_HUMAN,OR8H2
1835,OR8H3_HUMAN,OR8H3
1836,OR8I2_HUMAN,OR8I2
1837,OR8J1_HUMAN,OR8J1
1838,OR8J2_HUMAN,OR8J2
1839,OR8J3_HUMAN,OR8J3
1840,OR8K1_HUMAN,OR8K1
1841,OR8K3_HUMAN,OR8K3
1842,OR8K5_HUMAN,OR8K5
1843,OR8S1_HUMAN,OR8S1
1844,OR8U1_HUMAN,OR8U1
1845,OR8U8_HUMAN,OR8U8
1846,OR8U9_HUMAN,OR8U9
1847,OR9A1_HUMAN,OR9A1P
1848,OR9A2_HUMAN,OR9A2
1849,OR9A4_HUMAN,OR9A4
1850,OR9G1_HUMAN,OR9G1
1851,OR9G4_HUMAN,OR9G4
1852,OR9G9_HUMAN,OR9G9
1853,OR9I1_HUMAN,OR9I1
1854,OR9K2_HUMAN,OR9K2
1855,OR9Q1_HUMAN,OR9Q1
1856,OR9Q2_HUMAN,OR9Q2
1857,OSMR_HUMAN,OSMR
1858,OSTA_HUMAN,SLC51A
1859,OSTB_HUMAN,SLC51B
1860,OSTM1_HUMAN,OSTM1
1861,OTOAN_HUMAN,OTOA
1862,OTOP1_HUMAN,OTOP1
1863,OTOP2_HUMAN,OTOP2
1864,OX1R_HUMAN,HCRTR1
1865,OX2G_HUMAN,CD200
1866,OX2R_HUMAN,HCRTR2
1867,OXER1_HUMAN,OXER1
1868,OXGR1_HUMAN,OXGR1
1869,OXYR_HUMAN,OXTR
1870,P210L_HUMAN,NUP210L
1871,P2RX1_HUMAN,P2RX1
1872,P2RX2_HUMAN,P2RX2
1873,P2RX3_HUMAN,P2RX3
1874,P2RX4_HUMAN,P2RX4
1875,P2RX6_HUMAN,P2RX6
1876,P2RX7_HUMAN,P2RX7
1877,P2RY1_HUMAN,P2RY1
1878,P2RY2_HUMAN,P2RY2
1879,P2RY4_HUMAN,P2RY4
1880,P2RY6_HUMAN,P2RY6
1881,P2RY8_HUMAN,P2RY8
1882,P2Y10_HUMAN,P2RY10
1883,P2Y11_HUMAN,P2RY11
1884,P2Y12_HUMAN,P2RY12
1885,P2Y13_HUMAN,P2RY13
1886,P2Y14_HUMAN,P2RY14
1887,P3IP1_HUMAN,PIK3IP1
1888,P3_HUMAN,SLC10A3
1889,P5I13_HUMAN,TP53I13
1890,PACR_HUMAN,ADCYAP1R1
1891,PANX1_HUMAN,PANX1
1892,PANX2_HUMAN,PANX2
1893,PAR1_HUMAN,F2R
1894,PAR2_HUMAN,F2RL1
1895,PAR3_HUMAN,F2RL2
1896,PAR4_HUMAN,F2RL3
1897,PARM1_HUMAN,PARM1
1898,PC11X_HUMAN,PCDH11X
1899,PC11Y_HUMAN,PCDH11Y
1900,PCD10_HUMAN,PCDH10
1901,PCD12_HUMAN,PCDH12
1902,PCD15_HUMAN,PCDH15
1903,PCD16_HUMAN,DCHS1
1904,PCD17_HUMAN,PCDH17
1905,PCD18_HUMAN,PCDH18
1906,PCD19_HUMAN,PCDH19
1907,PCD20_HUMAN,PCDH20
1908,PCD23_HUMAN,DCHS2
1909,PCDA1_HUMAN,PCDHA1
1910,PCDA2_HUMAN,PCDHA2
1911,PCDA3_HUMAN,PCDHA3
1912,PCDA4_HUMAN,PCDHA4
1913,PCDA5_HUMAN,PCDHA5
1914,PCDA6_HUMAN,PCDHA6
1915,PCDA7_HUMAN,PCDHA7
1916,PCDA8_HUMAN,PCDHA8
1917,PCDA9_HUMAN,PCDHA9
1918,PCDAA_HUMAN,PCDHA10
1919,PCDAB_HUMAN,PCDHA11
1920,PCDAC_HUMAN,PCDHA12
1921,PCDAD_HUMAN,PCDHA13
1922,PCDB1_HUMAN,PCDHB1
1923,PCDB2_HUMAN,PCDHB2
1924,PCDB3_HUMAN,PCDHB3
1925,PCDB4_HUMAN,PCDHB4
1926,PCDB5_HUMAN,PCDHB5
1927,PCDB6_HUMAN,PCDHB6
1928,PCDB7_HUMAN,PCDHB7
1929,PCDB8_HUMAN,PCDHB8
1930,PCDB9_HUMAN,PCDHB9
1931,PCDBA_HUMAN,PCDHB10
1932,PCDBB_HUMAN,PCDHB11
1933,PCDBC_HUMAN,PCDHB12
1934,PCDBD_HUMAN,PCDHB13
1935,PCDBE_HUMAN,PCDHB14
1936,PCDBF_HUMAN,PCDHB15
1937,PCDBG_HUMAN,PCDHB16
1938,PCDC1_HUMAN,PCDHAC1
1939,PCDC2_HUMAN,PCDHAC2
1940,PCDG1_HUMAN,PCDHGA1
1941,PCDG2_HUMAN,PCDHGA2
1942,PCDG3_HUMAN,PCDHGA3
1943,PCDG4_HUMAN,PCDHGA4
1944,PCDG5_HUMAN,PCDHGA5
1945,PCDG6_HUMAN,PCDHGA6
1946,PCDG7_HUMAN,PCDHGA7
1947,PCDG8_HUMAN,PCDHGA8
1948,PCDG9_HUMAN,PCDHGA9
1949,PCDGA_HUMAN,PCDHGA10
1950,PCDGB_HUMAN,PCDHGA11
1951,PCDGC_HUMAN,PCDHGA12
1952,PCDGD_HUMAN,PCDHGB1
1953,PCDGE_HUMAN,PCDHGB2
1954,PCDGF_HUMAN,PCDHGB3
1955,PCDGG_HUMAN,PCDHGB4
1956,PCDGH_HUMAN,PCDHGB5
1957,PCDGI_HUMAN,PCDHGB6
1958,PCDGJ_HUMAN,PCDHGB7
1959,PCDGK_HUMAN,PCDHGC3
1960,PCDGL_HUMAN,PCDHGC4
1961,PCDGM_HUMAN,PCDHGC5
1962,PCDH1_HUMAN,PCDH1
1963,PCDH7_HUMAN,PCDH7
1964,PCDH8_HUMAN,PCDH8
1965,PCDH9_HUMAN,PCDH9
1966,PCFT_HUMAN,SLC46A1
1967,PCSK5_HUMAN,PCSK5
1968,PCX1_HUMAN,PCNX1
1969,PCX2_HUMAN,PCNX2
1970,PD1L1_HUMAN,CD274
1971,PD1L2_HUMAN,PDCD1LG2
1972,PD2R2_HUMAN,PTGDR2
1973,PD2R_HUMAN,PTGDR
1974,PDCD1_HUMAN,PDCD1
1975,PDXL2_HUMAN,PODXL2
1976,PE2R1_HUMAN,PTGER1
1977,PE2R2_HUMAN,PTGER2
1978,PE2R3_HUMAN,PTGER3
1979,PE2R4_HUMAN,PTGER4
1980,PEAR1_HUMAN,PEAR1
1981,PECA1_HUMAN,PECAM1
1982,PERT_HUMAN,TPO
1983,PF2R_HUMAN,PTGFR
1984,PGAP1_HUMAN,PGAP1
1985,PGCB_HUMAN,BCAN
1986,PGFRA_HUMAN,PDGFRA
1987,PGFRB_HUMAN,PDGFRB
1988,PHEX_HUMAN,PHEX
1989,PI16_HUMAN,PI16
1990,PI2R_HUMAN,PTGIR
1991,PIEZ1_HUMAN,PIEZO1
1992,PIEZ2_HUMAN,PIEZO2
1993,PIGO_HUMAN,PIGO
1994,PIGR_HUMAN,PIGR
1995,PIGT_HUMAN,PIGT
1996,PILRA_HUMAN,PILRA
1997,PILRB_HUMAN,PILRB
1998,PK1L1_HUMAN,PKD1L1
1999,PK1L2_HUMAN,PKD1L2
2000,PK1L3_HUMAN,PKD1L3
2001,PK2L1_HUMAN,PKD2L1
2002,PKD1_HUMAN,PKD1
2003,PKD2_HUMAN,PKD2
2004,PKDRE_HUMAN,PKDREJ
2005,PKHD1_HUMAN,PKHD1
2006,PKHL1_HUMAN,PKHD1L1
2007,PKR1_HUMAN,PROKR1
2008,PKR2_HUMAN,PROKR2
2009,PLA2R_HUMAN,PLA2R1
2010,PLB1_HUMAN,PLB1
2011,PLD5_HUMAN,PLD5
2012,PLDX1_HUMAN,PLXDC1
2013,PLET1_HUMAN,PLET1
2014,PLVAP_HUMAN,PLVAP
2015,PLXA1_HUMAN,PLXNA1
2016,PLXA2_HUMAN,PLXNA2
2017,PLXA3_HUMAN,PLXNA3
2018,PLXA4_HUMAN,PLXNA4
2019,PLXB1_HUMAN,PLXNB1
2020,PLXB2_HUMAN,PLXNB2
2021,PLXB3_HUMAN,PLXNB3
2022,PLXC1_HUMAN,PLXNC1
2023,PLXD1_HUMAN,PLXND1
2024,PMEL_HUMAN,PMEL
2025,PMEPA_HUMAN,PMEPA1
2026,PO210_HUMAN,NUP210
2027,PODXL_HUMAN,PODXL
2028,POPD1_HUMAN,BVES
2029,PORIM_HUMAN,TMEM123
2030,PPAL_HUMAN,ACP2
2031,PPAT_HUMAN,ACP4
2032,PPB1_HUMAN,ALPP
2033,PPBI_HUMAN,ALPI
2034,PPBN_HUMAN,ALPG
2035,PPBT_HUMAN,ALPL
2036,PPR29_HUMAN,ELFN2
2037,PRIMA_HUMAN,PRIMA1
2038,PRIO_HUMAN,PRNP
2039,PRLHR_HUMAN,PRLHR
2040,PRLR_HUMAN,PRLR
2041,PRND_HUMAN,PRND
2042,PROM1_HUMAN,PROM1
2043,PROM2_HUMAN,PROM2
2044,PRPH2_HUMAN,PRPH2
2045,PRRT3_HUMAN,PRRT3
2046,PRS41_HUMAN,PRSS41
2047,PRSS8_HUMAN,PRSS8
2048,PRTG_HUMAN,PRTG
2049,PSCA_HUMAN,PSCA
2050,PSN1_HUMAN,PSEN1
2051,PSN2_HUMAN,PSEN2
2052,PSYR_HUMAN,GPR65
2053,PTAFR_HUMAN,PTAFR
2054,PTC1_HUMAN,PTCH1
2055,PTCRA_HUMAN,PTCRA
2056,PTH1R_HUMAN,PTH1R
2057,PTH2R_HUMAN,PTH2R
2058,PTHD1_HUMAN,PTCHD1
2059,PTHD3_HUMAN,PTCHD3
2060,PTHD4_HUMAN,PTCHD4
2061,PTK7_HUMAN,PTK7
2062,PTPR2_HUMAN,PTPRN2
2063,PTPRA_HUMAN,PTPRA
2064,PTPRB_HUMAN,PTPRB
2065,PTPRC_HUMAN,PTPRC
2066,PTPRD_HUMAN,PTPRD
2067,PTPRF_HUMAN,PTPRF
2068,PTPRG_HUMAN,PTPRG
2069,PTPRH_HUMAN,PTPRH
2070,PTPRJ_HUMAN,PTPRJ
2071,PTPRK_HUMAN,PTPRK
2072,PTPRM_HUMAN,PTPRM
2073,PTPRN_HUMAN,PTPRN
2074,PTPRO_HUMAN,PTPRO
2075,PTPRQ_HUMAN,PTPRQ
2076,PTPRR_HUMAN,PTPRR
2077,PTPRS_HUMAN,PTPRS
2078,PTPRT_HUMAN,PTPRT
2079,PTPRU_HUMAN,PTPRU
2080,PTPRZ_HUMAN,PTPRZ1
2081,PTTG_HUMAN,PTTG1IP
2082,PVR_HUMAN,PVR
2083,PXDC2_HUMAN,PLXDC2
2084,QRFPR_HUMAN,QRFPR
2085,QSOX1_HUMAN,QSOX1
2086,QSOX2_HUMAN,QSOX2
2087,R4RL1_HUMAN,RTN4RL1
2088,R4RL2_HUMAN,RTN4RL2
2089,RAGE_HUMAN,AGER
2090,RAI3_HUMAN,GPRC5A
2091,RAMP2_HUMAN,RAMP2
2092,RAMP3_HUMAN,RAMP3
2093,RECK_HUMAN,RECK
2094,RELL1_HUMAN,RELL1
2095,RET_HUMAN,RET
2096,RGMA_HUMAN,RGMA
2097,RGMB_HUMAN,RGMB
2098,RGMC_HUMAN,HJV
2099,RGR_HUMAN,RGR
2100,RHAG_HUMAN,RHAG
2101,RHBL2_HUMAN,RHBDL2
2102,RHCG_HUMAN,RHCG
2103,RHDF2_HUMAN,RHBDF2
2104,RL3R1_HUMAN,RXFP3
